図鑑No.,技名,属性,技種別,威力,命中率,コスト,効果分類,対象,効果内容,継続,発動条件,連続使用,詳細説明,技ID
16,メンチカツをたべる,-,補助,-,-,5,回復,自分,生命力を25回復する,一度だけ,注文出来たら,-,【お店専用】売切れ時効果なし,MK-0016
17,たいあたり,-,初撃,6,-,5,-,-,-,-,-,-,-,MK-0017
18,ずつき,-,初撃,7,94,5,-,-,-,-,-,-,-,MK-0018
19,ひっかく,-,初撃,8,89,5,-,-,-,-,-,-,-,MK-0019
20,とびかかる,-,初撃,7,-,5,デバフ,相手,素早さを5減少させる,場にいる間,0.17,-,交換されると能力は戻る,MK-0020
21,たたく,-,初撃,6,-,5,-,-,-,-,-,-,-,MK-0021
22,とっしん,-,初撃,9,-,5,自傷,自分,4ダメージくらう,攻撃当たれば,-,-,-,MK-0022
23,ふみつける,-,初撃,7,-,5,デバフ,相手,防御力を5減少させる,場にいる間,0.17,-,交換されると能力は戻る,MK-0023
24,かみつく,-,初撃,7,-,5,デバフ,相手,攻撃力を5減少させる,場にいる間,0.17,-,交換されると能力は戻る,MK-0024
25,けりあげる,-,初撃,8,89,5,-,-,-,-,-,-,-,MK-0025
26,つきさす,-,初撃,8,89,5,-,-,-,-,-,-,-,MK-0026
27,なぎはらう,-,初撃,9,-,10,-,-,-,-,-,-,-,MK-0027
28,なげとばす,-,初撃,8,-,10,特殊,相手,控えに還す,攻撃当たれば,0.17,-,みがわり状態でも控えに還せる,MK-0028
29,たたきつける,-,初撃,9,-,10,-,-,-,-,-,-,-,MK-0029
30,まわしげり,-,初撃,13,-,15,デバフ,相手,防御力を10減少させる,攻撃当たれば,0.17,-,交換されると能力は戻る,MK-0030
31,きりつける,-,初撃,13,-,15,デバフ,相手,攻撃力を10減少させる,攻撃当たれば,0.17,-,交換されると能力は戻る,MK-0031
32,ぶんなげる,-,初撃,13,-,15,特殊,相手,控えに還す,攻撃当たれば,0.31,-,みがわり状態でも控えに還せる,MK-0032
33,クラッシュ,-,強撃,12,89,10,-,-,-,-,,-,-,MK-0033
34,スマッシュ,-,強撃,12,89,10,-,-,-,-,,-,-,MK-0034
35,ドロップキック,-,強撃,13,72,10,-,-,-,-,,-,-,MK-0035
36,いあいぎり,-,強撃,13,72,10,特殊,自チーム,くものいとをけす,-,攻撃当たれば,-,自チームのトラップを消す,MK-0036
37,ラリアット,-,強撃,10,72,5,-,-,-,-,,-,-,MK-0037
38,たたきおとす,-,強撃,10,72,5,-,-,-,-,,-,-,MK-0038
39,回転斬り,-,強撃,12,72,12,特殊,自チーム,まきびしをけす,-,攻撃当たれば,-,自チームのトラップを消す,MK-0039
40,衝撃波,-,強撃,14,72,12,特殊,相手,怯ませる,1ターン,0.17,-,相手が後攻なら効果なし,MK-0040
41,ぶちかます,-,強撃,12,89,12,-,-,-,-,-,-,-,MK-0041
42,乱撃,-,強撃,2,89,12,特殊,自分,技の威力のみで攻撃,1ターン,-,-,奇数なら15回　偶数なら20回　1なら1回攻撃する,MK-0042
43,乱打,-,強撃,2,72,10,特殊,自分,技の威力のみで攻撃,1ターン,-,-,奇数なら15回　偶数なら20回　1なら1回攻撃する,MK-0043
44,強襲,-,強撃,13,72,10,特殊,相手,怯ませる,1ターン,0.17,-,相手が後攻なら効果なし,MK-0044
45,フルスイング,-,強撃,18,64,15,デバフ,相手,攻撃力を5、防御力を10減少させる,場にいる間,0.31,-,交換されると能力は戻る,MK-0045
46,連撃,-,強撃,3,89,15,特殊,自分,技の威力のみで攻撃,1ターン,-,-,3.4.5.6ならその回数攻撃しまたサイコロを振り1.2なら終了,MK-0046
47,パワーストライク,-,強撃,18,64,15,デバフ,相手,攻撃力を半分にする,場にいる間,0.44,-,交換されると能力は戻る,MK-0047
48,ブレイクアタック,-,強撃,10,72,15,デバフ,相手,防御力を20減少させる,場にいる間,0.64,-,交換されると能力は戻る,MK-0048
49,烈空砕,-,極撃,18,89,30,特殊,自分,出目の3倍ダメージ与える,1ターン,0.17,-,サイコロを振り出た目の3倍ダメージ与える,MK-0049
50,烈空波,-,極撃,18,72,30,特殊,自分,出目の3倍ダメージ与える,1ターン,0.31,-,サイコロを振り出た目の3倍ダメージ与える,MK-0050
51,烈空撃,-,極撃,18,64,30,特殊,自分,出目の3倍ダメージ与える,1ターン,0.44,-,サイコロを振り出た目の3倍ダメージ与える,MK-0051
52,剛天烈波,-,極撃,22,72,30,バフ,自分,技の威力が倍になる,1ターン,0.31,-,-,MK-0052
53,剛天烈撃,-,極撃,18,89,30,バフ,自分,技の威力が倍になる,1ターン,0.31,-,-,MK-0053
54,天翔乱舞,-,極撃,-,72,35,バフ,自分,攻撃力が5上がり攻撃力の2倍で攻撃,場にいる間,攻撃当たれば,-,攻撃力は上がったのは継続し威力は攻撃すると戻る,MK-0054
55,雲界乱舞,-,極撃,-,72,35,バフ,自分,防御力が5上がり防御力の2倍で攻撃,場にいる間,攻撃当たれば,-,防御力は上がったのは継続し威力は攻撃すると戻る,MK-0055
56,極天乱舞,-,極撃,-,89,35,バフ,自分,素早さが5上がり素早さの2倍で攻撃,場にいる間,攻撃当たれば,-,素早さは上がったのは継続し威力は攻撃すると戻る,MK-0056
57,グラディオス,-,極撃,32,-,30,デバフ,相手,攻撃力を半分にする,場にいる間,0.31,-,交換されると能力は戻る,MK-0057
58,ヴォルゼイド,-,極撃,32,-,30,デバフ,相手,防御力を10％ダウン,場にいる間,0.31,-,交換されると能力は戻る,MK-0058
59,ヴォルゼオン,-,極撃,32,-,30,デバフ,相手,素早さを半分にし攻撃出来ない,場にいる間,0.31,-,更に31％で怯ませる　交換されると能力は戻る,MK-0059
60,ガルディオン,-,極撃,39,72,30,デバフ,相手,攻撃力を半分にする,場にいる間,0.5,-,交換されると能力は戻る,MK-0060
61,グランヴェルド,-,極撃,39,72,30,デバフ,相手,防御力を10％ダウン,場にいる間,0.5,-,交換されると能力は戻る,MK-0061
62,グランぜリオス,-,極撃,39,72,30,デバフ,相手,素早さを半分にし攻撃出来ない,場にいる間,0.5,-,更に31％で怯ませる　交換されると能力は戻る,MK-0062
63,ヴァルゼリオン,-,極撃,46,44,35,追撃,自分,攻撃力分も追加ダメージ,-,0.44,-,攻撃力も追加（バフ効果も上乗せ）,MK-0063
64,レグナディオス,-,極撃,46,44,35,追撃,自分,防御力分も追加ダメージ,-,0.44,-,防御力も追加（バフ効果も上乗せ）,MK-0064
65,きをためる,-,補助,-,-,5,バフ,自分,技威力が5増加する,場にいる間,-,可,攻撃選択すると戻る　※相手がまもったとしても,MK-0065
66,きをためる,-,補助,-,-,10,バフ,自分,技威力が10増加する,場にいる間,-,可,攻撃選択すると戻る　※相手がまもったとしても,MK-0066
67,きをためる,-,補助,-,-,15,バフ,自分,技威力が15増加する,場にいる間,-,可,攻撃選択すると戻る　※相手がまもったとしても,MK-0067
68,すりかえ,-,補助,-,-,10,特殊,相手,持ち物を交換する,終了まで,-,可,相手が持ち物なくても交換出来る,MK-0068
69,いちゃもん,-,補助,-,-,10,特殊,相手,補助カードが使えなくなる,場にいる間,-,可 　            (効果が切れた場合）,相手が使われた後に補助カード使っても発動せずターン終了,MK-0069
70,こうかん,-,補助,-,94,5,特殊,相手,持ち物を交換する,終了まで,-,可,どちらかが持ち物を持っていなければ失敗する,MK-0070
71,わるぐち,-,補助,-,94,5,特殊,相手,補助カードが使えなくなる,3ターン,-,-,使ったターンを1とし効果発動中は使えない,MK-0071
72,そうおん,-,補助,-,-,10,デバフ,相手,攻撃力と素早さを5減少させる,場にいる間,-,可,交換されると能力は戻る,MK-0072
73,かいおん,-,補助,-,-,10,デバフ,相手,防御力と素早さを5減少させる,場にいる間,-,可,交換されると能力は戻る,MK-0073
74,いおん,-,補助,-,-,15,デバフ,相手,攻撃力と防御力と素早さを5減少させる,場にいる間,-,可,交換されると能力は戻る,MK-0074
75,はたきおとす,-,初撃,7,-,10,特殊,相手,持ち物を落とす,攻撃当たれば,1,-,持ち物を落とせる,MK-0075
76,はたく,-,初撃,4,-,5,特殊,相手,持ち物を落とす,攻撃当たれば,0.5,-,持ち物を落とせる,MK-0076
77,ブレイクダウン,-,強撃,14,72,12,デバフ,相手,素早さを15減少させる,場にいる間,0.64,-,交換されると能力は戻る,MK-0077
78,ミックスアタック,-,強撃,17,64,15,デバフ,相手,攻撃力・防御力・素早さを5減少させる,場にいる間,0.5,-,交換されると能力は戻る,MK-0078
79,火炎瓶,炎,初撃,10,-,8,状態異常,相手,火傷にする,持続,0.31,-,他の状態異常にはならない　効果は重複しない,MK-0079
80,みずてっぽう,水,初撃,10,-,8,状態異常,相手,水傷にする,持続,0.31,-,他の状態異常にはならない　効果は重複しない,MK-0080
81,木の葉カッター,木,初撃,10,-,8,状態異常,相手,木傷にする,持続,0.31,-,他の状態異常にはならない　効果は重複しない,MK-0081
82,静電気,雷,初撃,10,-,8,状態異常,相手,雷傷にする,持続,0.31,-,他の状態異常にはならない　効果は重複しない,MK-0082
83,風切り,風,初撃,10,-,8,状態異常,相手,風傷にする,持続,0.31,-,他の状態異常にはならない　効果は重複しない,MK-0083
84,地を揺らす,地,初撃,10,-,8,状態異常,相手,地傷にする,持続,0.31,-,他の状態異常にはならない　効果は重複しない,MK-0084
85,さざめき,虫,初撃,10,-,8,状態異常,相手,虫傷にする,持続,0.31,-,他の状態異常にはならない　効果は重複しない,MK-0085
86,プラズマ,機,初撃,10,-,8,状態異常,相手,機傷にする,持続,0.31,-,他の状態異常にはならない　効果は重複しない,MK-0086
87,菌手,獣,初撃,10,-,8,状態異常,相手,獣傷にする,持続,0.31,-,他の状態異常にはならない　効果は重複しない,MK-0087
88,毒霧,毒,初撃,10,-,8,状態異常,相手,毒傷にする,持続,0.31,-,他の状態異常にはならない　効果は重複しない,MK-0088
89,調理,食,初撃,10,-,8,状態異常,相手,食傷にする,持続,0.31,-,他の状態異常にはならない　効果は重複しない,MK-0089
90,斬鋭,K,初撃,10,-,8,状態異常,相手,K傷にする,持続,0.31,-,他の状態異常にはならない　効果は重複しない,MK-0090
91,突,無,初撃,10,-,8,デバフ,相手,怯ませ、攻撃力を5減少させる,場にいる間,0.31,-,交換されると能力は戻る　怯みは相手が後攻なら効果はない,MK-0091
92,微かな炎,炎,初撃,3,-,3,状態異常,相手,火傷にする,持続,0.16,-,他の状態異常にはならない　効果は重複しない,MK-0092
93,ブレイズアーツ,炎,初撃,11,-,10,状態異常,相手,火傷にする,持続,0.72,-,特殊属性のみ可　他の状態異常にはならない　効果は重複しない,MK-0093
94,インフェルノアーツ,炎,初撃,15,-,10,状態異常,相手,火傷にする,持続,0.5,-,特殊属性のみ可　他の状態異常にはならない　効果は重複しない,MK-0094
95,ヒートブレイカー,炎,初撃,13,-,10,状態異常,相手,火傷にする,持続,0.64,-,特殊属性のみ可　他の状態異常にはならない　効果は重複しない,MK-0095
96,水しぶき,水,初撃,3,-,3,状態異常,相手,水傷にする,持続,0.16,-,他の状態異常にはならない　効果は重複しない,MK-0096
97,ごうおん,-,補助,-,-,15,デバフ,相手,攻撃力・防御力・素早さを5減少させる,場にいる間,-,-,交換されると能力は戻る,MK-0097
